name,price,image_url,foil_status,set_name
Sol Ring,$1.00,https://tcgplayer-cdn.tcgplayer.com/product/519305_in_200x200.jpg,Non-Foil,Universes Beyond: Doctor Who
Sol Ring,$0.99,https://tcgplayer-cdn.tcgplayer.com/product/269371_in_200x200.jpg,Non-Foil,Commander: Streets of New Capenna
Sol Ring,$1.00,https://tcgplayer-cdn.tcgplayer.com/product/545098_in_200x200.jpg,Non-Foil,Commander: Outlaws of Thunder Junction
Sol Ring,$0.99,https://tcgplayer-cdn.tcgplayer.com/product/539393_in_200x200.jpg,Non-Foil,Universes Beyond: Fallout
Sol Ring,$0.99,https://tcgplayer-cdn.tcgplayer.com/product/478450_in_200x200.jpg,Non-Foil,Commander: Phyrexia: All Will Be One
Sol Ring,$1.00,https://tcgplayer-cdn.tcgplayer.com/product/222389_in_200x200.jpg,Non-Foil,Commander: Zendikar Rising
Sol Ring,$0.99,https://tcgplayer-cdn.tcgplayer.com/product/108104_in_200x200.jpg,Non-Foil,Commander 2015
Sol Ring,$1.00,https://tcgplayer-cdn.tcgplayer.com/product/132166_in_200x200.jpg,Non-Foil,Commander Anthology
Sol Ring,$5.00,https://tcgplayer-cdn.tcgplayer.com/product/1571_in_200x200.jpg,Non-Foil,Revised Edition
Sol Ring,$0.99,https://tcgplayer-cdn.tcgplayer.com/product/503397_in_200x200.jpg,Non-Foil,Commander Masters
Sol Ring,$0.99,https://tcgplayer-cdn.tcgplayer.com/product/263042_in_200x200.jpg,Non-Foil,Commander: Kamigawa: Neon Dynasty
Sol Ring,$4.74,https://tcgplayer-cdn.tcgplayer.com/product/247528_in_200x200.jpg,Non-Foil,Commander Collection: Black
Sol Ring,$0.99,https://tcgplayer-cdn.tcgplayer.com/product/227075_in_200x200.jpg,Non-Foil,Commander Legends
Sol Ring,$0.95,https://tcgplayer-cdn.tcgplayer.com/product/552939_in_200x200.jpg,Non-Foil,Commander: Modern Horizons 3
Sol Ring,$1.08,https://tcgplayer-cdn.tcgplayer.com/product/488278_in_200x200.jpg,Non-Foil,Commander: The Lord of the Rings: Tales of Middle-earth
Sol Ring,$0.99,https://tcgplayer-cdn.tcgplayer.com/product/282969_in_200x200.jpg,Non-Foil,Commander: Dominaria United
Sol Ring,$29.20,https://tcgplayer-cdn.tcgplayer.com/product/9210_in_200x200.jpg,Non-Foil,Unlimited Edition
Sol Ring,$0.99,https://tcgplayer-cdn.tcgplayer.com/product/248630_in_200x200.jpg,Non-Foil,Commander: Innistrad: Midnight Hunt
Sol Ring,$13.58,https://tcgplayer-cdn.tcgplayer.com/product/36767_in_200x200.jpg,Non-Foil,From the Vault: Relics
Sol Ring,$0.99,https://tcgplayer-cdn.tcgplayer.com/product/236137_in_200x200.jpg,Non-Foil,Commander 2021
Sol Ring,$0.99,https://tcgplayer-cdn.tcgplayer.com/product/456739_in_200x200.jpg,Non-Foil,Starter Commander Decks
Sol Ring,$1.00,https://tcgplayer-cdn.tcgplayer.com/product/254201_in_200x200.jpg,Non-Foil,Commander: Innistrad: Crimson Vow
Sol Ring,$1.00,https://tcgplayer-cdn.tcgplayer.com/product/124634_in_200x200.jpg,Non-Foil,Commander 2016
Sol Ring,$0.99,https://tcgplayer-cdn.tcgplayer.com/product/139799_in_200x200.jpg,Non-Foil,Commander 2017
